time,open,high,low,close,volume,tick_volume,real_volume,spread
2025-12-26 00:00:00,1.17769,1.17769,1.17767,1.17767,5,5,0,62
2025-12-26 00:05:00,1.17767,1.17827,1.17764,1.17823,92,92,0,10
2025-12-26 00:10:00,1.17823,1.17824,1.17792,1.17803,152,152,0,18
2025-12-26 00:15:00,1.17812,1.1782,1.17804,1.17809,45,45,0,20
2025-12-26 00:20:00,1.17809,1.1782,1.17791,1.17805,48,48,0,8
2025-12-26 00:25:00,1.17805,1.17821,1.17805,1.1781,34,34,0,19
2025-12-26 00:30:00,1.1781,1.17821,1.178,1.1782,49,49,0,19
2025-12-26 00:35:00,1.1782,1.17821,1.17805,1.17821,54,54,0,19
2025-12-26 00:40:00,1.17805,1.17821,1.17805,1.17805,28,28,0,20
2025-12-26 00:45:00,1.17805,1.17829,1.17805,1.1780599999999999,20,20,0,12
2025-12-26 00:50:00,1.1780599999999999,1.17821,1.17781,1.178,29,29,0,12
2025-12-26 00:55:00,1.178,1.1783,1.17779,1.17791,95,95,0,12
2025-12-26 01:00:00,1.17791,1.17838,1.17776,1.17795,36,36,0,13
2025-12-26 01:05:00,1.178,1.1780599999999999,1.178,1.1780599999999999,3,3,0,37
2025-12-26 01:10:00,1.17803,1.17803,1.17803,1.17803,1,1,0,28
2025-12-26 01:15:00,1.17792,1.17814,1.17789,1.17807,944,944,0,11
2025-12-26 01:20:00,1.17807,1.1781,1.17795,1.17809,856,856,0,5
2025-12-26 01:25:00,1.17809,1.1782,1.17802,1.17803,963,963,0,5
2025-12-26 01:30:00,1.17803,1.17826,1.1777,1.17771,594,594,0,5
2025-12-26 01:35:00,1.17771,1.17808,1.17771,1.17794,604,604,0,5
2025-12-26 01:40:00,1.17794,1.17824,1.17791,1.17813,758,758,0,5
2025-12-26 01:45:00,1.17814,1.17825,1.17803,1.1782,799,799,0,5
2025-12-26 01:50:00,1.17823,1.17836,1.17808,1.17826,665,665,0,5
2025-12-26 01:55:00,1.17827,1.17838,1.1781,1.17837,787,787,0,5
2025-12-26 02:00:00,1.17837,1.17837,1.17778,1.17813,801,801,0,5
2025-12-26 02:05:00,1.17813,1.17814,1.17764,1.17769,762,762,0,5
2025-12-26 02:10:00,1.17768,1.17797,1.17768,1.17793,582,582,0,5
2025-12-26 02:15:00,1.17793,1.17814,1.17789,1.17804,411,411,0,5
2025-12-26 02:20:00,1.17801,1.17847,1.17801,1.17843,274,274,0,5
2025-12-26 02:25:00,1.17843,1.17907,1.17843,1.17901,343,343,0,5
2025-12-26 02:30:00,1.17902,1.17913,1.1789399999999999,1.17902,233,233,0,5
2025-12-26 02:35:00,1.17901,1.17907,1.17884,1.179,256,256,0,5
2025-12-26 02:40:00,1.17896,1.17904,1.17886,1.17901,172,172,0,5
2025-12-26 02:45:00,1.17901,1.17919,1.17871,1.17892,462,462,0,5
2025-12-26 02:50:00,1.17892,1.17907,1.17868,1.17871,387,387,0,5
2025-12-26 02:55:00,1.17877,1.17877,1.17849,1.17859,385,385,0,5
2025-12-26 03:00:00,1.1786,1.17862,1.17834,1.17847,276,276,0,5
2025-12-26 03:05:00,1.1785,1.17895,1.17846,1.1785700000000001,396,396,0,5
2025-12-26 03:10:00,1.17861,1.17865,1.17828,1.17828,410,410,0,5
2025-12-26 03:15:00,1.17828,1.17851,1.17828,1.17832,199,199,0,5
2025-12-26 03:20:00,1.17832,1.1788,1.17827,1.17878,182,182,0,5
2025-12-26 03:25:00,1.17878,1.17889,1.17872,1.17875,184,184,0,5
2025-12-26 03:30:00,1.17874,1.17903,1.1787,1.17887,161,161,0,5
2025-12-26 03:35:00,1.17892,1.17914,1.17881,1.17881,210,210,0,5
2025-12-26 03:40:00,1.1788,1.17886,1.17863,1.17864,227,227,0,5
2025-12-26 03:45:00,1.17865,1.17872,1.17861,1.17866,182,182,0,5
2025-12-26 03:50:00,1.17866,1.17875,1.17858,1.17872,182,182,0,5
2025-12-26 03:55:00,1.1787,1.17877,1.17859,1.1787,203,203,0,5
2025-12-26 04:00:00,1.1787,1.17877,1.1786,1.17874,184,184,0,5
2025-12-26 04:05:00,1.17874,1.17875,1.17861,1.17861,87,87,0,5
2025-12-26 04:10:00,1.17862,1.17888,1.17862,1.1787,145,145,0,5
2025-12-26 04:15:00,1.17869,1.17874,1.17863,1.17866,95,95,0,5
2025-12-26 04:20:00,1.17866,1.17866,1.17843,1.17845,164,164,0,5
2025-12-26 04:25:00,1.17846,1.1785700000000001,1.17835,1.17854,138,138,0,5
2025-12-26 04:30:00,1.17855,1.1788,1.17852,1.17874,144,144,0,5
2025-12-26 04:35:00,1.17874,1.17927,1.17874,1.17917,242,242,0,5
2025-12-26 04:40:00,1.17916,1.17925,1.17914,1.17921,234,234,0,5
2025-12-26 04:45:00,1.1792,1.17926,1.17916,1.17919,131,131,0,2
2025-12-26 04:50:00,1.1791800000000001,1.1792,1.17914,1.1791800000000001,182,182,0,5
2025-12-26 04:55:00,1.17921,1.17934,1.17916,1.1792,163,163,0,5
2025-12-26 05:00:00,1.17921,1.17924,1.17903,1.17909,139,139,0,5
2025-12-26 05:05:00,1.17908,1.17924,1.17896,1.1791,169,169,0,5
2025-12-26 05:10:00,1.1791,1.17922,1.17904,1.17921,172,172,0,5
2025-12-26 05:15:00,1.17921,1.17925,1.17905,1.17906,111,111,0,5
2025-12-26 05:20:00,1.17906,1.17914,1.17879,1.17879,117,117,0,2
2025-12-26 05:25:00,1.17878,1.1788,1.17844,1.17863,341,341,0,5
2025-12-26 05:30:00,1.17868,1.17877,1.17844,1.17851,171,171,0,5
2025-12-26 05:35:00,1.17851,1.17856,1.1784,1.17854,91,91,0,5
2025-12-26 05:40:00,1.17854,1.17874,1.17851,1.17872,124,124,0,5
2025-12-26 05:45:00,1.17871,1.17878,1.17863,1.17871,118,118,0,5
2025-12-26 05:50:00,1.1786699999999999,1.17882,1.17856,1.17864,143,143,0,5
2025-12-26 05:55:00,1.17862,1.17862,1.17832,1.17841,223,223,0,5
2025-12-26 06:00:00,1.17839,1.1785,1.17827,1.1783299999999999,171,171,0,5
2025-12-26 06:05:00,1.1783299999999999,1.17844,1.1782,1.17823,120,120,0,5
2025-12-26 06:10:00,1.17823,1.17835,1.17817,1.17819,79,79,0,2
2025-12-26 06:15:00,1.17819,1.17822,1.17798,1.17799,107,107,0,5
2025-12-26 06:20:00,1.178,1.17831,1.17797,1.17827,116,116,0,5
2025-12-26 06:25:00,1.17824,1.17838,1.17823,1.17829,104,104,0,5
2025-12-26 06:30:00,1.1783,1.17864,1.17822,1.17863,147,147,0,5
2025-12-26 06:35:00,1.17862,1.17869,1.1785,1.17854,122,122,0,5
2025-12-26 06:40:00,1.17853,1.17855,1.17841,1.17842,107,107,0,5
2025-12-26 06:45:00,1.1784,1.1785,1.17828,1.17849,99,99,0,5
2025-12-26 06:50:00,1.17848,1.1785,1.17834,1.17838,91,91,0,3
2025-12-26 06:55:00,1.17837,1.17838,1.17821,1.1783,126,126,0,2
2025-12-26 07:00:00,1.1783,1.17835,1.17814,1.17819,148,148,0,5
2025-12-26 07:05:00,1.17818,1.17832,1.17811,1.17825,101,101,0,5
2025-12-26 07:10:00,1.17827,1.17837,1.17812,1.17814,107,107,0,5
2025-12-26 07:15:00,1.17815,1.17819,1.178,1.17801,104,104,0,5
2025-12-26 07:20:00,1.17801,1.17816,1.178,1.17809,132,132,0,2
2025-12-26 07:25:00,1.17809,1.17819,1.17808,1.17816,97,97,0,5
2025-12-26 07:30:00,1.17814,1.1784,1.17809,1.1784,155,155,0,5
2025-12-26 07:35:00,1.17843,1.17854,1.17837,1.17846,124,124,0,5
2025-12-26 07:40:00,1.17845,1.17847,1.17826,1.17834,129,129,0,5
2025-12-26 07:45:00,1.17832,1.17865,1.1783,1.17859,164,164,0,5
2025-12-26 07:50:00,1.17858,1.1786,1.17845,1.17854,109,109,0,5
2025-12-26 07:55:00,1.17855,1.17869,1.17854,1.17859,140,140,0,5
2025-12-26 08:00:00,1.17859,1.17876,1.17849,1.1785,187,187,0,0
2025-12-26 08:05:00,1.1785,1.17853,1.17836,1.17843,195,195,0,0
2025-12-26 08:10:00,1.17843,1.17855,1.17832,1.17855,157,157,0,0
2025-12-26 08:15:00,1.17855,1.17861,1.17841,1.17842,163,163,0,0
2025-12-26 08:20:00,1.17842,1.17851,1.17827,1.1783,138,138,0,0
2025-12-26 08:25:00,1.17829,1.1783,1.1780599999999999,1.17822,257,257,0,0
2025-12-26 08:30:00,1.17823,1.17851,1.17822,1.17835,166,166,0,0
2025-12-26 08:35:00,1.17834,1.17834,1.17773,1.17775,277,277,0,0
2025-12-26 08:40:00,1.17775,1.17777,1.17714,1.1774,393,393,0,0
2025-12-26 08:45:00,1.1774,1.17766,1.17725,1.17765,147,147,0,0
2025-12-26 08:50:00,1.17765,1.17771,1.17746,1.17757,181,181,0,0
2025-12-26 08:55:00,1.17757,1.17778,1.17746,1.17765,223,223,0,0
2025-12-26 09:00:00,1.17765,1.17778,1.1774,1.17752,299,299,0,0
2025-12-26 09:05:00,1.17752,1.17759,1.17738,1.1774499999999999,188,188,0,0
2025-12-26 09:10:00,1.1774499999999999,1.17757,1.1773,1.17756,131,131,0,0
2025-12-26 09:15:00,1.17756,1.17758,1.17725,1.17726,173,173,0,0
2025-12-26 09:20:00,1.17725,1.17752,1.17715,1.17746,184,184,0,0
2025-12-26 09:25:00,1.17746,1.17755,1.17736,1.17737,208,208,0,0
2025-12-26 09:30:00,1.17738,1.1776,1.17725,1.17755,255,255,0,0
2025-12-26 09:35:00,1.17755,1.17765,1.17741,1.17746,215,215,0,0
2025-12-26 09:40:00,1.17746,1.1775,1.1771099999999999,1.17715,358,358,0,0
2025-12-26 09:45:00,1.17715,1.17722,1.177,1.17717,263,263,0,0
2025-12-26 09:50:00,1.17717,1.17739,1.1771099999999999,1.17736,312,312,0,0
2025-12-26 09:55:00,1.17736,1.17742,1.17706,1.17727,442,442,0,0
2025-12-26 10:00:00,1.17728,1.1773500000000001,1.17671,1.17691,395,395,0,0
2025-12-26 10:05:00,1.17691,1.1770100000000001,1.17664,1.17687,304,304,0,0
2025-12-26 10:10:00,1.17687,1.17691,1.17668,1.17675,282,282,0,0
2025-12-26 10:15:00,1.17677,1.17697,1.17666,1.17693,231,231,0,0
2025-12-26 10:20:00,1.17693,1.17739,1.17688,1.17733,211,211,0,0
2025-12-26 10:25:00,1.17733,1.1776,1.17731,1.17743,244,244,0,0
2025-12-26 10:30:00,1.17743,1.17761,1.17732,1.17739,204,204,0,0
2025-12-26 10:35:00,1.17739,1.17739,1.17721,1.17734,166,166,0,0
2025-12-26 10:40:00,1.17734,1.1773500000000001,1.17699,1.17702,240,240,0,0
2025-12-26 10:45:00,1.17702,1.17756,1.17702,1.17755,227,227,0,0
2025-12-26 10:50:00,1.17755,1.17763,1.17746,1.17756,179,179,0,0
2025-12-26 10:55:00,1.17755,1.17775,1.17739,1.17769,259,259,0,0
2025-12-26 11:00:00,1.17769,1.17776,1.17755,1.1776200000000001,257,257,0,0
2025-12-26 11:05:00,1.1776200000000001,1.17777,1.17731,1.17737,279,279,0,0
2025-12-26 11:10:00,1.17737,1.17759,1.17727,1.17728,208,208,0,0
2025-12-26 11:15:00,1.17728,1.1773,1.17689,1.17698,234,234,0,0
2025-12-26 11:20:00,1.17698,1.17708,1.17692,1.17702,182,182,0,0
2025-12-26 11:25:00,1.1770100000000001,1.17714,1.17697,1.17708,198,198,0,0
2025-12-26 11:30:00,1.17708,1.17718,1.1769,1.1770100000000001,255,255,0,0
2025-12-26 11:35:00,1.177,1.177,1.17683,1.17699,210,210,0,0
2025-12-26 11:40:00,1.17699,1.17699,1.17685,1.17693,152,152,0,0
2025-12-26 11:45:00,1.17693,1.17717,1.17687,1.17714,147,147,0,0
2025-12-26 11:50:00,1.17714,1.17732,1.1771,1.1771,136,136,0,0
2025-12-26 11:55:00,1.1771,1.17719,1.17694,1.1770100000000001,179,179,0,0
2025-12-26 12:00:00,1.1770100000000001,1.17705,1.1769,1.17702,185,185,0,0
2025-12-26 12:05:00,1.17702,1.17722,1.177,1.17707,128,128,0,0
2025-12-26 12:10:00,1.17707,1.17755,1.17706,1.17753,194,194,0,0
2025-12-26 12:15:00,1.17753,1.1777199999999999,1.1775,1.17764,190,190,0,0
2025-12-26 12:20:00,1.17764,1.17783,1.17757,1.17778,203,203,0,0
2025-12-26 12:25:00,1.17778,1.17797,1.17755,1.17755,222,222,0,0
2025-12-26 12:30:00,1.17756,1.1777199999999999,1.17753,1.1776200000000001,248,248,0,0
2025-12-26 12:35:00,1.1776200000000001,1.17782,1.17759,1.17767,266,266,0,0
