datetime,open,high,low,close,volume
2025-01-01 22:00:00,1.03514,1.03571,1.03486,1.03552,1014
2025-01-01 23:00:00,1.03552,1.03566,1.03464,1.03508,1918
2025-01-02 00:00:00,1.03508,1.03565,1.03473,1.03520,1893
2025-01-02 01:00:00,1.03520,1.03608,1.03442,1.03577,4174
2025-01-02 02:00:00,1.03577,1.03714,1.03576,1.03709,1767
2025-01-02 03:00:00,1.03709,1.03742,1.03681,1.03716,1629
2025-01-02 04:00:00,1.03716,1.03757,1.03665,1.03693,1471
2025-01-02 05:00:00,1.03693,1.03707,1.03617,1.03639,1393
2025-01-02 06:00:00,1.03639,1.03651,1.03598,1.03638,2080
2025-01-02 07:00:00,1.03638,1.03724,1.03624,1.03629,3751
2025-01-02 08:00:00,1.03629,1.03709,1.03463,1.03629,7386
2025-01-02 09:00:00,1.03629,1.03703,1.03494,1.03517,5389
2025-01-02 10:00:00,1.03517,1.03569,1.03136,1.03167,8645
2025-01-02 11:00:00,1.03167,1.03343,1.03149,1.03323,6875
2025-01-02 12:00:00,1.03323,1.03344,1.03148,1.03183,6064
2025-01-02 13:00:00,1.03183,1.03297,1.03111,1.03134,10530
2025-01-02 14:00:00,1.03134,1.03239,1.03021,1.03037,8698
2025-01-02 15:00:00,1.03037,1.03089,1.02725,1.02742,12147
2025-01-02 16:00:00,1.02742,1.02763,1.02241,1.02613,17324
2025-01-02 17:00:00,1.02613,1.02682,1.02512,1.02649,8067
2025-01-02 18:00:00,1.02650,1.02663,1.02557,1.02564,4413
2025-01-02 19:00:00,1.02564,1.02595,1.02478,1.02511,3535
2025-01-02 20:00:00,1.02511,1.02645,1.02506,1.02614,2419
2025-01-02 21:00:00,1.02614,1.02685,1.02610,1.02629,1310
2025-01-02 22:00:00,1.02554,1.02665,1.02523,1.02645,2412
2025-01-02 23:00:00,1.02645,1.02680,1.02644,1.02678,1277
2025-01-03 00:00:00,1.02673,1.02735,1.02659,1.02729,1679
2025-01-03 01:00:00,1.02729,1.02730,1.02665,1.02674,2094
2025-01-03 02:00:00,1.02674,1.02747,1.02667,1.02724,1905
2025-01-03 03:00:00,1.02724,1.02745,1.02687,1.02707,1335
2025-01-03 04:00:00,1.02707,1.02710,1.02672,1.02696,1163
2025-01-03 05:00:00,1.02696,1.02735,1.02646,1.02718,1564
2025-01-03 06:00:00,1.02718,1.02793,1.02716,1.02793,1665
2025-01-03 07:00:00,1.02793,1.02849,1.02687,1.02808,7135
2025-01-03 08:00:00,1.02808,1.02881,1.02728,1.02804,6140
2025-01-03 09:00:00,1.02803,1.03000,1.02802,1.02902,5509
2025-01-03 10:00:00,1.02902,1.02938,1.02792,1.02813,3754
2025-01-03 11:00:00,1.02813,1.03029,1.02813,1.02973,3802
2025-01-03 12:00:00,1.02973,1.03010,1.02942,1.02956,4025
2025-01-03 13:00:00,1.02956,1.03002,1.02914,1.02931,4575
2025-01-03 14:00:00,1.02932,1.03024,1.02878,1.03003,5389
2025-01-03 15:00:00,1.02998,1.03058,1.02728,1.02892,11248
2025-01-03 16:00:00,1.02892,1.02999,1.02835,1.02909,5336
2025-01-03 17:00:00,1.02909,1.03057,1.02909,1.02980,4847
2025-01-03 18:00:00,1.02980,1.03022,1.02925,1.02973,3569
2025-01-03 19:00:00,1.02973,1.03061,1.02938,1.03012,2753
2025-01-03 20:00:00,1.03013,1.03076,1.02988,1.03058,2682
2025-01-03 21:00:00,1.03058,1.03099,1.03047,1.03078,1180
2025-01-05 22:00:00,1.03020,1.03062,1.02948,1.03009,652
2025-01-05 23:00:00,1.03009,1.03080,1.03007,1.03052,1598
2025-01-06 00:00:00,1.03052,1.03054,1.02955,1.03030,2635
2025-01-06 01:00:00,1.03030,1.03136,1.03012,1.03123,3092
2025-01-06 02:00:00,1.03123,1.03178,1.03108,1.03160,2424
2025-01-06 03:00:00,1.03160,1.03184,1.03130,1.03164,1753
2025-01-06 04:00:00,1.03164,1.03175,1.03128,1.03153,1232
2025-01-06 05:00:00,1.03153,1.03182,1.03085,1.03088,1758
2025-01-06 06:00:00,1.03088,1.03166,1.03078,1.03126,2384
2025-01-06 07:00:00,1.03126,1.03284,1.03098,1.03273,3762
2025-01-06 08:00:00,1.03273,1.03525,1.03266,1.03502,7724
2025-01-06 09:00:00,1.03502,1.03690,1.03401,1.03556,11604
2025-01-06 10:00:00,1.03556,1.03580,1.03350,1.03351,4911
2025-01-06 11:00:00,1.03350,1.04328,1.03286,1.04219,22133
2025-01-06 12:00:00,1.04219,1.04307,1.03921,1.04110,10595
2025-01-06 13:00:00,1.04115,1.04369,1.04044,1.04167,12302
2025-01-06 14:00:00,1.04167,1.04238,1.03526,1.03926,21177
2025-01-06 15:00:00,1.03926,1.03988,1.03713,1.03936,15022
2025-01-06 16:00:00,1.03936,1.04030,1.03853,1.03968,8340
2025-01-06 17:00:00,1.03968,1.03968,1.03792,1.03874,5240
2025-01-06 18:00:00,1.03874,1.03893,1.03770,1.03819,4826
2025-01-06 19:00:00,1.03820,1.03918,1.03788,1.03885,4299
2025-01-06 20:00:00,1.03885,1.03921,1.03857,1.03878,2935
