datetime,open,high,low,close,volume
2025-01-01 22:00:00,1.03514,1.03526,1.03486,1.03493,44
2025-01-01 22:15:00,1.03493,1.03541,1.03490,1.03536,181
2025-01-01 22:30:00,1.03536,1.03567,1.03536,1.03565,376
2025-01-01 22:45:00,1.03563,1.03571,1.03550,1.03552,413
2025-01-01 23:00:00,1.03552,1.03566,1.03492,1.03539,443
2025-01-01 23:15:00,1.03539,1.03546,1.03514,1.03514,357
2025-01-01 23:30:00,1.03514,1.03519,1.03464,1.03493,450
2025-01-01 23:45:00,1.03493,1.03534,1.03493,1.03508,668
2025-01-02 00:00:00,1.03508,1.03519,1.03491,1.03495,459
2025-01-02 00:15:00,1.03495,1.03513,1.03473,1.03507,458
2025-01-02 00:30:00,1.03507,1.03518,1.03485,1.03509,396
2025-01-02 00:45:00,1.03509,1.03565,1.03503,1.03520,580
2025-01-02 01:00:00,1.03520,1.03521,1.03442,1.03491,1372
2025-01-02 01:15:00,1.03491,1.03540,1.03465,1.03510,1084
2025-01-02 01:30:00,1.03510,1.03608,1.03489,1.03583,948
2025-01-02 01:45:00,1.03583,1.03601,1.03572,1.03577,770
2025-01-02 02:00:00,1.03577,1.03614,1.03576,1.03603,599
2025-01-02 02:15:00,1.03603,1.03638,1.03594,1.03634,416
2025-01-02 02:30:00,1.03634,1.03673,1.03630,1.03668,336
2025-01-02 02:45:00,1.03668,1.03714,1.03663,1.03709,416
2025-01-02 03:00:00,1.03709,1.03734,1.03704,1.03714,454
2025-01-02 03:15:00,1.03715,1.03718,1.03681,1.03705,360
2025-01-02 03:30:00,1.03705,1.03742,1.03700,1.03720,489
2025-01-02 03:45:00,1.03720,1.03727,1.03693,1.03716,326
2025-01-02 04:00:00,1.03716,1.03757,1.03716,1.03743,342
2025-01-02 04:15:00,1.03743,1.03749,1.03710,1.03712,382
2025-01-02 04:30:00,1.03712,1.03715,1.03665,1.03671,444
2025-01-02 04:45:00,1.03671,1.03705,1.03666,1.03693,303
2025-01-02 05:00:00,1.03693,1.03707,1.03653,1.03662,346
2025-01-02 05:15:00,1.03662,1.03671,1.03636,1.03647,345
