datetime,open,high,low,close,volume
2025-01-01 20:00:00,1.03514,1.03571,1.03464,1.03508,2932
2025-01-02 00:00:00,1.03508,1.03742,1.03442,1.03716,9463
2025-01-02 04:00:00,1.03716,1.03757,1.03598,1.03629,8695
2025-01-02 08:00:00,1.03629,1.03709,1.03136,1.03323,28295
2025-01-02 12:00:00,1.03323,1.03344,1.02725,1.02742,37439
2025-01-02 16:00:00,1.02742,1.02763,1.02241,1.02511,33339
2025-01-02 20:00:00,1.02511,1.02685,1.02506,1.02678,7418
2025-01-03 00:00:00,1.02673,1.02747,1.02659,1.02707,7013
2025-01-03 04:00:00,1.02707,1.02849,1.02646,1.02808,11527
2025-01-03 08:00:00,1.02808,1.03029,1.02728,1.02973,19205
2025-01-03 12:00:00,1.02973,1.03058,1.02728,1.02892,25237
2025-01-03 16:00:00,1.02892,1.03061,1.02835,1.03012,16505
2025-01-03 20:00:00,1.03013,1.03099,1.02988,1.03078,3862
2025-01-05 20:00:00,1.03020,1.03080,1.02948,1.03052,2250
2025-01-06 00:00:00,1.03052,1.03184,1.02955,1.03164,9904
2025-01-06 04:00:00,1.03164,1.03284,1.03078,1.03273,9136
2025-01-06 08:00:00,1.03273,1.04328,1.03266,1.04219,46372
2025-01-06 12:00:00,1.04219,1.04369,1.03526,1.03936,59096
2025-01-06 16:00:00,1.03936,1.04030,1.03770,1.03885,22705
2025-01-06 20:00:00,1.03885,1.03923,1.03771,1.03833,6113
2025-01-07 00:00:00,1.03833,1.03930,1.03761,1.03928,9351
2025-01-07 04:00:00,1.03928,1.04246,1.03904,1.04148,13488
2025-01-07 08:00:00,1.04148,1.04344,1.04032,1.04135,27075
2025-01-07 12:00:00,1.04135,1.04172,1.03551,1.03729,36728
2025-01-07 16:00:00,1.03730,1.03816,1.03493,1.03552,29162
2025-01-07 20:00:00,1.03552,1.03562,1.03392,1.03415,6355
2025-01-08 00:00:00,1.03415,1.03548,1.03412,1.03478,7864
2025-01-08 04:00:00,1.03478,1.03576,1.03282,1.03324,10989
2025-01-08 08:00:00,1.03324,1.03398,1.02731,1.02976,34745
2025-01-08 12:00:00,1.02976,1.03101,1.02807,1.03016,44655
2025-01-08 16:00:00,1.03016,1.03243,1.02945,1.03091,23330
2025-01-08 20:00:00,1.03091,1.03193,1.03079,1.03133,6632
2025-01-09 00:00:00,1.03127,1.03214,1.03048,1.03109,8782
2025-01-09 04:00:00,1.03109,1.03125,1.02877,1.02909,14226
2025-01-09 08:00:00,1.02909,1.03178,1.02834,1.03011,26258
2025-01-09 12:00:00,1.03011,1.03191,1.02944,1.02993,21167
2025-01-09 16:00:00,1.02993,1.03025,1.02910,1.02980,9446
2025-01-09 20:00:00,1.02980,1.03037,1.02956,1.02965,3733
2025-01-10 00:00:00,1.02959,1.03045,1.02921,1.02985,7842
2025-01-10 04:00:00,1.02985,1.02999,1.02811,1.02970,9604
2025-01-10 08:00:00,1.02972,1.03119,1.02927,1.03016,18474
2025-01-10 12:00:00,1.03016,1.03118,1.02127,1.02503,62020
2025-01-10 16:00:00,1.02503,1.02512,1.02275,1.02454,26950
2025-01-10 20:00:00,1.02454,1.02491,1.02371,1.02445,4613
2025-01-12 20:00:00,1.02350,1.02469,1.02345,1.02430,2758
2025-01-13 00:00:00,1.02430,1.02500,1.02127,1.02154,11180
2025-01-13 04:00:00,1.02155,1.02250,1.02073,1.02153,15229
2025-01-13 08:00:00,1.02152,1.02314,1.01775,1.01959,36481
2025-01-13 12:00:00,1.01959,1.02209,1.01878,1.01969,32205
2025-01-13 16:00:00,1.01969,1.02215,1.01917,1.02072,17438
2025-01-13 20:00:00,1.02072,1.02777,1.02069,1.02638,11192
2025-01-14 00:00:00,1.02638,1.02638,1.02384,1.02484,13331
2025-01-14 04:00:00,1.02484,1.02663,1.02422,1.02543,15373
2025-01-14 08:00:00,1.02543,1.02749,1.02519,1.02541,25984
2025-01-14 12:00:00,1.02541,1.02958,1.02395,1.02950,44208
2025-01-14 16:00:00,1.02950,1.03055,1.02789,1.02980,19664
2025-01-14 20:00:00,1.02981,1.03085,1.02964,1.03062,5458
2025-01-15 00:00:00,1.03055,1.03062,1.02954,1.03019,7424
2025-01-15 04:00:00,1.03018,1.03081,1.02866,1.03059,13948
2025-01-15 08:00:00,1.03059,1.03174,1.02941,1.03013,22103
2025-01-15 12:00:00,1.03013,1.03544,1.02934,1.03061,51190
2025-01-15 16:00:00,1.03062,1.03079,1.02578,1.02932,22082
2025-01-15 20:00:00,1.02932,1.02991,1.02838,1.02951,5927
2025-01-16 00:00:00,1.02946,1.03000,1.02846,1.02890,13093
2025-01-16 04:00:00,1.02889,1.03017,1.02808,1.02975,12490
2025-01-16 08:00:00,1.02976,1.03000,1.02816,1.02901,19440
2025-01-16 12:00:00,1.02901,1.03059,1.02604,1.03008,45237
2025-01-16 16:00:00,1.03008,1.03151,1.02858,1.03017,25627
2025-01-16 20:00:00,1.03017,1.03043,1.02956,1.03014,4648
2025-01-17 00:00:00,1.03008,1.03095,1.02980,1.03006,8191
2025-01-17 04:00:00,1.03006,1.03010,1.02774,1.02844,11235
2025-01-17 08:00:00,1.02845,1.03102,1.02841,1.03046,20345
